source_class_uri,target_class_uri,semantic_relation,similarity_score,justification
http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Starfleet_Academy,http://dbkwik.webdatacommons.org/stexpanded.wikia.com/resource/Starfleet_Academy,equivalent,0.64071995,Match based on Embeddings
http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Cardassian_dissident_movement,http://dbkwik.webdatacommons.org/stexpanded.wikia.com/resource/Cardassian_dissident_movement,equivalent,0.65785694,Match based on Embeddings
http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/USS_Fredrickson,http://dbkwik.webdatacommons.org/stexpanded.wikia.com/resource/USS_Fredrickson_(NCC-42111),equivalent,0.5942609,Match based on Embeddings
http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Talos_IV,http://dbkwik.webdatacommons.org/stexpanded.wikia.com/resource/Talos_IV,equivalent,0.62198704,Match based on Embeddings
http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Mutiny,http://dbkwik.webdatacommons.org/stexpanded.wikia.com/resource/Mutiny,equivalent,0.63523084,Match based on Embeddings
http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Tea,http://dbkwik.webdatacommons.org/stexpanded.wikia.com/resource/Tea,equivalent,0.6281161,Match based on Embeddings
http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Quantum_slipstream_drive,http://dbkwik.webdatacommons.org/stexpanded.wikia.com/resource/Quantum_slipstream_drive,equivalent,0.656313,Match based on Embeddings
http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Clark_Terrell,http://dbkwik.webdatacommons.org/stexpanded.wikia.com/resource/Clark_Terrell,equivalent,0.6157296,Match based on Embeddings
http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Lisa_Neeley,http://dbkwik.webdatacommons.org/stexpanded.wikia.com/resource/Lisa_Neeley,equivalent,0.60026187,Match based on Embeddings
http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Rigel_X,http://dbkwik.webdatacommons.org/stexpanded.wikia.com/resource/Rigel_X,equivalent,0.62220275,Match based on Embeddings
http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/USS_Curry,http://dbkwik.webdatacommons.org/stexpanded.wikia.com/resource/USS_Curry,equivalent,0.63281256,Match based on Embeddings
http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Emony_Dax,http://dbkwik.webdatacommons.org/stexpanded.wikia.com/resource/Emony_Dax,equivalent,0.6049027,Match based on Embeddings
http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/USS_Thomas_Paine,http://dbkwik.webdatacommons.org/stexpanded.wikia.com/resource/USS_Thomas_Paine,equivalent,0.6407108,Match based on Embeddings
http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Katherine_Pulaski,http://dbkwik.webdatacommons.org/stexpanded.wikia.com/resource/Katherine_Pulaski,equivalent,0.60653514,Match based on Embeddings
http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Phillip_Green,http://dbkwik.webdatacommons.org/stexpanded.wikia.com/resource/Phillip_Green,equivalent,0.6000452,Match based on Embeddings
http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Dabo,http://dbkwik.webdatacommons.org/stexpanded.wikia.com/resource/Dabo,equivalent,0.59567976,Match based on Embeddings
http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/USS_Nautilus,http://dbkwik.webdatacommons.org/stexpanded.wikia.com/resource/USS_Nautilus_(NCC-31910),equivalent,0.57339865,Match based on Embeddings
http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/El-Aurian,http://dbkwik.webdatacommons.org/stexpanded.wikia.com/resource/El-Aurian,equivalent,0.6125212,Match based on Embeddings
http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Greece,http://dbkwik.webdatacommons.org/stexpanded.wikia.com/resource/Greece,equivalent,0.643286,Match based on Embeddings
http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Kelvas_repair_facility,http://dbkwik.webdatacommons.org/stexpanded.wikia.com/resource/Kelvas_repair_facility,equivalent,0.63346213,Match based on Embeddings
http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Shuttlepod,http://dbkwik.webdatacommons.org/stexpanded.wikia.com/resource/Shuttlepod,equivalent,0.63127923,Match based on Embeddings
http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Federation-Klingon_War_(2372-73),http://dbkwik.webdatacommons.org/stexpanded.wikia.com/resource/Federation-Klingon_War_(2372-73),equivalent,0.6655096,Match based on Embeddings
http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Bajoran_wormhole,http://dbkwik.webdatacommons.org/stexpanded.wikia.com/resource/Bajoran_wormhole,equivalent,0.64204174,Match based on Embeddings
http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/USS_Bradbury,http://dbkwik.webdatacommons.org/stexpanded.wikia.com/resource/USS_Bradbury,equivalent,0.63474786,Match based on Embeddings
http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/James_T._Kirk_(mirror),http://dbkwik.webdatacommons.org/stexpanded.wikia.com/resource/James_T._Kirk_(mirror),equivalent,0.6584109,Match based on Embeddings
"http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/I%27m_a_doctor,_not_a...","http://dbkwik.webdatacommons.org/stexpanded.wikia.com/resource/I%27m_a_doctor,_not_a...",equivalent,0.6579585,Match based on Embeddings
http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Preservers,http://dbkwik.webdatacommons.org/stexpanded.wikia.com/resource/Preservers,equivalent,0.6250434,Match based on Embeddings
http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Female_Changeling,http://dbkwik.webdatacommons.org/stexpanded.wikia.com/resource/Female_Changeling,equivalent,0.6440772,Match based on Embeddings
http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Raider,http://dbkwik.webdatacommons.org/stexpanded.wikia.com/resource/Raider,equivalent,0.6198651,Match based on Embeddings
http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/A.F.,N/A,N/A,0.0,"LLM failed to parse response. Raw: Based on the numerical similarity scores, the top 3 candidate matches are:

[
{
""source_class_uri"": http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/A.F.,
""target_class_uri"": http://db"
http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Canon,http://dbkwik.webdatacommons.org/stexpanded.wikia.com/resource/Canon,equivalent,0.6060003,Match based on Embeddings
http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Holographic_program,http://dbkwik.webdatacommons.org/stexpanded.wikia.com/resource/Holographic_program,equivalent,0.6232058,Match based on Embeddings
http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Madred,http://dbkwik.webdatacommons.org/stexpanded.wikia.com/resource/Madred,equivalent,0.6195681,Match based on Embeddings
http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Demilitarized_Zone,http://dbkwik.webdatacommons.org/stexpanded.wikia.com/resource/Demilitarized_Zone,equivalent,0.6412128,Match based on Embeddings
http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Romulan_Neutral_Zone,http://dbkwik.webdatacommons.org/stexpanded.wikia.com/resource/Romulan_Neutral_Zone,equivalent,0.6369125,Match based on Embeddings
http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/USS_Phoenix,http://dbkwik.webdatacommons.org/stexpanded.wikia.com/resource/USS_Phoenix_(NCC-65420),equivalent,0.5811471,Match based on Embeddings
http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Colorado,http://dbkwik.webdatacommons.org/stexpanded.wikia.com/resource/Colorado,equivalent,0.63422745,Match based on Embeddings
http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Subspace_relay,http://dbkwik.webdatacommons.org/stexpanded.wikia.com/resource/Subspace_relay,equivalent,0.6410785,Match based on Embeddings
http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/property/status,http://dbkwik.webdatacommons.org/stexpanded.wikia.com/property/status,equivalent,0.6062057,Match based on Embeddings
http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Tricorder,http://dbkwik.webdatacommons.org/stexpanded.wikia.com/resource/Tricorder,equivalent,0.6197978,Match based on Embeddings
http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Barnard%27s_Star,http://dbkwik.webdatacommons.org/stexpanded.wikia.com/resource/Barnard%27s_Star,equivalent,0.65014166,Match based on Embeddings
http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Tokyo,http://dbkwik.webdatacommons.org/stexpanded.wikia.com/resource/Tokyo,equivalent,0.6320182,Match based on Embeddings
http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Tachyon_detection_grid,http://dbkwik.webdatacommons.org/stexpanded.wikia.com/resource/Tachyon_detection_grid,equivalent,0.64875555,Match based on Embeddings
http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/IKS_Klothos,http://dbkwik.webdatacommons.org/stexpanded.wikia.com/resource/IKS_Klothos,equivalent,0.6102228,Match based on Embeddings
http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Pulse_cannon,http://dbkwik.webdatacommons.org/stexpanded.wikia.com/resource/Pulse_cannon,equivalent,0.62048316,Match based on Embeddings
http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/DeSalle,http://dbkwik.webdatacommons.org/stexpanded.wikia.com/resource/DeSalle,equivalent,0.6088591,Match based on Embeddings
http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Starfleet_uniform_(late_2240s-2250s),http://dbkwik.webdatacommons.org/stexpanded.wikia.com/resource/Starfleet_ranks_(2240s-2250s),equivalent,0.5662156,Match based on Embeddings
http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Andoria,http://dbkwik.webdatacommons.org/stexpanded.wikia.com/resource/Andoria,equivalent,0.60225374,Match based on Embeddings
http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Life_support_system,http://dbkwik.webdatacommons.org/stexpanded.wikia.com/resource/Life_support_system,equivalent,0.6493137,Match based on Embeddings
http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Romulan_Guard,http://dbkwik.webdatacommons.org/stexpanded.wikia.com/resource/Romulan_Guard,equivalent,0.62995774,Match based on Embeddings
http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Caretaker_(episode),http://dbkwik.webdatacommons.org/stexpanded.wikia.com/resource/Caretaker_(MCNL),equivalent,0.5805082,Match based on Embeddings
http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Nanite,http://dbkwik.webdatacommons.org/stexpanded.wikia.com/resource/Nanite,equivalent,0.64021325,Match based on Embeddings
http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Tal_Shiar,http://dbkwik.webdatacommons.org/stexpanded.wikia.com/resource/Tal_Shiar,equivalent,0.6043712,Match based on Embeddings
http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Romulan_ranks,http://dbkwik.webdatacommons.org/stexpanded.wikia.com/resource/Romulan_ranks,equivalent,0.6486145,Match based on Embeddings
http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/T%27Pol,http://dbkwik.webdatacommons.org/stexpanded.wikia.com/resource/T%27Pol,equivalent,0.5919075,Match based on Embeddings
http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Kobayashi_Maru,http://dbkwik.webdatacommons.org/stexpanded.wikia.com/resource/Kobayashi_Maru,equivalent,0.6439733,Match based on Embeddings
http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Risian,http://dbkwik.webdatacommons.org/stexpanded.wikia.com/resource/Risian,equivalent,0.5945401,Match based on Embeddings
http://dbkwik.webdatacommons.org/memory-alpha.wikia.com/resource/Earth_Outpost_Station,http://dbkwik.webdatacommons.org/stexpanded.wikia.com/resource/Earth_Outpost_Station,equivalent,0.6411916,Match based on Embeddings
