source_class_uri,target_class_uri,semantic_relation,similarity_score,justification
http://schema.org/ComputerLanguage,http://www.wikidata.org/wiki/computer_language,equivalent,0.6228215,Match based on Embeddings
http://schema.org/CommunityHealth,http://www.wikidata.org/wiki/community_health,equivalent,0.61541724,Match based on Embeddings
http://schema.org/Sculpture,http://www.wikidata.org/wiki/sculpture,equivalent,0.61785173,Match based on Embeddings
http://schema.org/CreativeWorkSeries,http://www.wikidata.org/wiki/series_of_creative_works,equivalent,0.55921304,Match based on Embeddings
http://schema.org/Newspaper,http://www.wikidata.org/wiki/newspaper,equivalent,0.6269516,Match based on Embeddings
http://schema.org/Blog,http://www.wikidata.org/wiki/Blog,equivalent,0.602007,Match based on Embeddings
http://schema.org/PostalAddress,http://www.wikidata.org/wiki/address,equivalent,0.57670677,Match based on Embeddings
http://schema.org/DefenceEstablishment,http://www.wikidata.org/wiki/military_facility,equivalent,0.5115,"While the similarity score is not extremely high, I believe that 'military facility' is a much better match than 'news article', as it shares a similar context and concept with 'Defence Establishment'. Both are related to military or defense-related entities, whereas 'scholarly article' seems unrelated. Given the slight edge in contextual meaning, I prefer this match over others."
http://schema.org/Residence,http://www.wikidata.org/wiki/residence,equivalent,0.6294021,Match based on Embeddings
http://schema.org/BookSeries,http://www.wikidata.org/wiki/book_series,equivalent,0.60984766,Match based on Embeddings
http://schema.org/Recipe,http://www.wikidata.org/wiki/recipe,equivalent,0.64009565,Match based on Embeddings
http://schema.org/MedicalSign,http://www.wikidata.org/wiki/clinical_sign,equivalent,0.5496,"Although the similarity score is not the highest, I choose 'clinical_sign' as the best match because it is semantically most appropriate given the context of both classes. Both 'MedicalSign' and 'clinical_sign' refer to a symptom or indicator of a medical condition, making them equivalent in terms of meaning."
http://schema.org/Review,http://www.wikidata.org/wiki/review,equivalent,0.61640483,Match based on Embeddings
http://schema.org/Park,http://www.wikidata.org/wiki/park,equivalent,0.6383251,Match based on Embeddings
http://schema.org/DiagnosticProcedure,http://www.wikidata.org/wiki/medical_procedure,more general,0.5424,"While the top-scoring match is to palliative_procedure, I believe medical_procedure is a more suitable choice because it encompasses diagnostic procedures as a specific type of medical procedure. This contextual relationship aligns with the source class's purpose and meaning."
http://schema.org/Question,http://www.wikidata.org/wiki/question,equivalent,0.6208152,Match based on Embeddings
http://schema.org/Chapter,http://www.wikidata.org/wiki/chapter,equivalent,0.62522155,Match based on Embeddings
http://schema.org/NGO,http://www.wikidata.org/wiki/non-governmental_organization,equivalent,0.5758794,Match based on Embeddings
http://schema.org/Diet,http://www.wikidata.org/wiki/diet,equivalent,0.6323223,Match based on Embeddings
http://schema.org/TattooParlor,http://www.wikidata.org/wiki/tattoo_parlor,equivalent,0.59810174,Match based on Embeddings
http://schema.org/Episode,http://www.wikidata.org/wiki/episode,equivalent,0.6195828,Match based on Embeddings
http://schema.org/GatedResidenceCommunity,http://www.wikidata.org/wiki/gated_community,equivalent,0.5871182,Match based on Embeddings
http://schema.org/Photograph,http://www.wikidata.org/wiki/photograph,equivalent,0.6368982,Match based on Embeddings
http://schema.org/RespiratoryTherapy,http://www.wikidata.org/wiki/respiratory_therapy,equivalent,0.61128116,Match based on Embeddings
http://schema.org/ElementarySchool,http://www.wikidata.org/wiki/elementary_school,equivalent,0.6180998,Match based on Embeddings
http://schema.org/Collection,http://www.wikidata.org/wiki/collection,equivalent,0.6059769,Match based on Embeddings
http://schema.org/Nerve,http://www.wikidata.org/wiki/nerve,equivalent,0.6412525,Match based on Embeddings
http://schema.org/FireStation,http://www.wikidata.org/wiki/fire_station,equivalent,0.57398456,Match based on Embeddings
http://schema.org/GovernmentOrganization,http://www.wikidata.org/wiki/government_organization,equivalent,0.60269797,Match based on Embeddings
http://schema.org/PhysicalExam,http://www.wikidata.org/wiki/physical_examination,equivalent,0.517739,Match based on Embeddings
http://schema.org/TouristInformationCenter,http://www.wikidata.org/wiki/tourist_attraction,equivalent,0.5807,"While other candidates have similar scores, the semantic fit between contexts is strongest for 'tourist attraction'. This class aligns well with the idea of providing information to tourists, and the label 'tourist_attraction' accurately captures the essence of a TouristInformationCenter."
http://schema.org/PetStore,http://www.wikidata.org/wiki/pet_store,equivalent,0.6348255,Match based on Embeddings
http://schema.org/MovingCompany,http://www.wikidata.org/wiki/moving_company,equivalent,0.6022756,Match based on Embeddings
http://schema.org/State,http://www.wikidata.org/wiki/federated_state,equivalent,0.549519,Match based on Embeddings
http://schema.org/Obstetric,http://www.wikidata.org/wiki/obstetrics,equivalent,0.5784517,Match based on Embeddings
http://schema.org/Dermatology,http://www.wikidata.org/wiki/dermatology,equivalent,0.63939565,Match based on Embeddings
http://schema.org/LymphaticVessel,http://www.wikidata.org/wiki/lymphatic_vessel,equivalent,0.6445481,Match based on Embeddings
http://schema.org/BeautySalon,http://www.wikidata.org/wiki/beauty_salon,equivalent,0.5811896,Match based on Embeddings
http://schema.org/HairSalon,http://www.wikidata.org/wiki/beauty_salon,equivalent,0.5532,"The candidate matches all have a high similarity score, but the context of the beauty salon class aligns most closely with the source class 'hairsalon'. Both classes refer to establishments that provide personal grooming services, and the label 'beauty_salon' is semantically equivalent to 'hairsalon'."
http://schema.org/Quantity,N/A,N/A,0.0,"LLM failed to parse response. Raw: Based on the provided information, I would recommend the following best semantic match for the source class:

[
{
""source_class_uri"": http://schema.org/Quantity,
""target_class_uri"": http://www.wikidat"
http://schema.org/Float,http://www.wikidata.org/wiki/floating_point,equivalent,0.5597017,Match based on Embeddings
http://schema.org/Locksmith,http://www.wikidata.org/wiki/locksmith,equivalent,0.63462716,Match based on Embeddings
http://schema.org/Winery,http://www.wikidata.org/wiki/winery,equivalent,0.6314862,Match based on Embeddings
http://schema.org/Bridge,http://www.wikidata.org/wiki/bridge,equivalent,0.61969364,Match based on Embeddings
http://schema.org/OutletStore,http://www.wikidata.org/wiki/outlet_store,equivalent,0.62819487,Match based on Embeddings
http://schema.org/DanceGroup,http://www.wikidata.org/wiki/dance_troupe,equivalent,0.581077,Match based on Embeddings
http://schema.org/Article,http://www.wikidata.org/wiki/article,equivalent,0.61388797,Match based on Embeddings
http://schema.org/VideoGameSeries,http://www.wikidata.org/wiki/video_game_series,equivalent,0.6062929,Match based on Embeddings
http://schema.org/TheaterGroup,http://www.wikidata.org/wiki/theatre_troupe,equivalent,0.5805785,Match based on Embeddings
http://schema.org/Ligament,http://www.wikidata.org/wiki/ligament,equivalent,0.65011144,Match based on Embeddings
http://schema.org/Embassy,http://www.wikidata.org/wiki/embassy,equivalent,0.62135243,Match based on Embeddings
http://schema.org/ParkingFacility,http://www.wikidata.org/wiki/parking_facility,equivalent,0.57680315,Match based on Embeddings
http://schema.org/Courthouse,http://www.wikidata.org/wiki/courthouse,equivalent,0.63422406,Match based on Embeddings
http://schema.org/Event,http://www.wikidata.org/wiki/event,equivalent,0.6226977,Match based on Embeddings
http://schema.org/Notary,http://www.wikidata.org/wiki/notary,equivalent,0.63234675,Match based on Embeddings
http://schema.org/Aquarium,http://www.wikidata.org/wiki/public_aquarium,equivalent,0.59852064,Match based on Embeddings
http://schema.org/HotelRoom,http://www.wikidata.org/wiki/hotel_room,equivalent,0.630974,Match based on Embeddings
http://schema.org/Psychiatric,http://www.wikidata.org/wiki/Psychiatry,equivalent,0.5973913,Match based on Embeddings
http://schema.org/PalliativeProcedure,http://www.wikidata.org/wiki/palliative_procedure,equivalent,0.61304766,Match based on Embeddings
http://schema.org/ComicSeries,http://www.wikidata.org/wiki/comic_book_series,equivalent,0.5940897,Match based on Embeddings
http://schema.org/Apartment,http://www.wikidata.org/wiki/apartment,equivalent,0.63947916,Match based on Embeddings
http://schema.org/Pharmacy,http://www.wikidata.org/wiki/pharmacy,equivalent,0.61929977,Match based on Embeddings
http://schema.org/TaxiStand,http://www.wikidata.org/wiki/taxi_rank,equivalent,0.5630781,Match based on Embeddings
http://schema.org/InfectiousDisease,http://www.wikidata.org/wiki/infectious_disease,equivalent,0.58290905,Match based on Embeddings
http://schema.org/Podiatric,http://www.wikidata.org/wiki/podiatry,equivalent,0.5962007,Match based on Embeddings
http://schema.org/PsychologicalTreatment,http://www.wikidata.org/wiki/psychological_treatment,equivalent,0.58074224,Match based on Embeddings
http://schema.org/Date,http://www.wikidata.org/wiki/date,equivalent,0.6256279,Match based on Embeddings
http://schema.org/Beach,http://www.wikidata.org/wiki/beach,equivalent,0.62987405,Match based on Embeddings
http://schema.org/Duration,http://www.wikidata.org/wiki/duration,equivalent,0.6309876,Match based on Embeddings
http://schema.org/Vein,http://www.wikidata.org/wiki/vein,equivalent,0.6470142,Match based on Embeddings
http://schema.org/ToyStore,http://www.wikidata.org/wiki/toy_store,equivalent,0.6372147,Match based on Embeddings
http://schema.org/MovieTheater,http://www.wikidata.org/wiki/movie_theater,equivalent,0.5688171,Match based on Embeddings
http://schema.org/PaymentCard,http://www.wikidata.org/wiki/payment_card,equivalent,0.62378836,Match based on Embeddings
http://schema.org/MedicalDevice,http://www.wikidata.org/wiki/medical_device,equivalent,0.6014631,Match based on Embeddings
http://schema.org/Cemetery,http://www.wikidata.org/wiki/cemetery,equivalent,0.62722385,Match based on Embeddings
http://schema.org/WebSite,http://www.wikidata.org/wiki/website,equivalent,0.5990635,Match based on Embeddings
http://schema.org/MiddleSchool,http://www.wikidata.org/wiki/middle_school,equivalent,0.6062101,Match based on Embeddings
http://schema.org/Comment,http://www.wikidata.org/wiki/comment,equivalent,0.62491906,Match based on Embeddings
http://schema.org/NailSalon,http://www.wikidata.org/wiki/nail_salon,equivalent,0.60201997,Match based on Embeddings
http://schema.org/MobileApplication,http://www.wikidata.org/wiki/mobile_app,equivalent,0.57592946,Match based on Embeddings
http://schema.org/InsuranceAgency,http://www.wikidata.org/wiki/insurance_agency,equivalent,0.5890825,Match based on Embeddings
http://schema.org/VeterinaryCare,http://www.wikidata.org/wiki/veterinary_medicine,equivalent,0.5777004,Match based on Embeddings
http://schema.org/LandmarksOrHistoricalBuildings,http://www.wikidata.org/wiki/landmark,equivalent,0.57500696,Match based on Embeddings
http://schema.org/Synagogue,http://www.wikidata.org/wiki/synagogue,equivalent,0.61055416,Match based on Embeddings
http://schema.org/FinancialService,http://www.wikidata.org/wiki/financial_services,equivalent,0.5762596,Match based on Embeddings
http://schema.org/Corporation,http://www.wikidata.org/wiki/government_organization,related,0.5333,"While the similarity score is high for all three candidates, I choose the government_organization class as it has a higher semantic fit with the source class. Both are types of organizations that operate on a larger scale, and government_organization encompasses many aspects of corporate activity. The relation between them can be considered related, as they share some common characteristics but are not exactly equivalent."
http://schema.org/BusStop,http://www.wikidata.org/wiki/bus_stop,equivalent,0.5848038,Match based on Embeddings
http://schema.org/BowlingAlley,http://www.wikidata.org/wiki/bowling_alley,equivalent,0.57043445,Match based on Embeddings
http://schema.org/HinduTemple,http://www.wikidata.org/wiki/Hindu_temple,equivalent,0.5620768,Match based on Embeddings
http://schema.org/Motel,http://www.wikidata.org/wiki/motel,equivalent,0.63443357,Match based on Embeddings
http://schema.org/Pond,http://www.wikidata.org/wiki/Pond,equivalent,0.64583623,Match based on Embeddings
http://schema.org/MusicRelease,N/A,N/A,0.0,"LLM failed to parse response. Raw: Based on the provided information, I would select the best semantic match for the source class as follows:

[
{
""source_class_uri"": http://schema.org/MusicRelease,
""target_class_uri"": http://www.wikid"
http://schema.org/VisualArtwork,http://www.wikidata.org/wiki/visual_artwork,equivalent,0.59332794,Match based on Embeddings
http://schema.org/CreativeWork,http://www.wikidata.org/wiki/creative_work,equivalent,0.6035753,Match based on Embeddings
http://schema.org/MedicalCode,http://www.wikidata.org/wiki/medical_code,equivalent,0.63743913,Match based on Embeddings
http://schema.org/Energy,http://www.wikidata.org/wiki/Energy,equivalent,0.6349077,Match based on Embeddings
http://schema.org/Dataset,http://www.wikidata.org/wiki/data_set,equivalent,0.5744654,Match based on Embeddings
http://schema.org/Number,http://www.wikidata.org/wiki/number,equivalent,0.6235977,Match based on Embeddings
http://schema.org/Plumber,http://www.wikidata.org/wiki/plumber,equivalent,0.64058363,Match based on Embeddings
http://schema.org/SkiResort,http://www.wikidata.org/wiki/ski_resort,equivalent,0.57624006,Match based on Embeddings
http://schema.org/Canal,http://www.wikidata.org/wiki/canal,equivalent,0.6401472,Match based on Embeddings
http://schema.org/WinAction,N/A,N/A,0.0,"LLM failed to parse response. Raw: Based on the given information, I would select the best semantic match for the source class as follows:

[
{
""source_class_uri"": http://schema.org/WinAction,
""target_class_uri"": http://www.wikidata.or"
http://schema.org/BlogPosting,http://www.wikidata.org/wiki/blog_post,equivalent,0.5729676,Match based on Embeddings
http://schema.org/Painting,http://www.wikidata.org/wiki/painting,equivalent,0.6336539,Match based on Embeddings
http://schema.org/RealEstateAgent,http://www.wikidata.org/wiki/real_estate_broker,equivalent,0.57397276,Match based on Embeddings
http://schema.org/DataFeed,http://www.wikidata.org/wiki/data_feed,equivalent,0.6165335,Match based on Embeddings
http://schema.org/Movie,http://www.wikidata.org/wiki/film,equivalent,0.55757564,Match based on Embeddings
http://schema.org/Distillery,http://www.wikidata.org/wiki/distillery,equivalent,0.6433343,Match based on Embeddings
http://schema.org/Bakery,http://www.wikidata.org/wiki/bakery,equivalent,0.6291487,Match based on Embeddings
http://schema.org/Store,http://www.wikidata.org/wiki/outlet_store,equivalent,0.5678,"The context of both classes aligns well, with 'store' being a common term for both. The similarity score is also high, indicating that the ontology structure and relationships are similar between the two. Considering both factors, I conclude that the target class 'outlet_store' is an equivalent match to the source class."
http://schema.org/PlaceOfWorship,http://www.wikidata.org/wiki/place_of_worship,equivalent,0.5907081,Match based on Embeddings
http://schema.org/Periodical,http://www.wikidata.org/wiki/magazine,equivalent,0.56258076,Match based on Embeddings
http://schema.org/Country,http://www.wikidata.org/wiki/country,equivalent,0.6187808,Match based on Embeddings
http://schema.org/LakeBodyOfWater,http://www.wikidata.org/wiki/lake,equivalent,0.5779474,Match based on Embeddings
http://schema.org/Series,http://www.wikidata.org/wiki/series,equivalent,0.6253436,Match based on Embeddings
http://schema.org/Book,http://www.wikidata.org/wiki/book,equivalent,0.6256551,Match based on Embeddings
http://schema.org/PublicSwimmingPool,http://www.wikidata.org/wiki/public_swimming_pool,equivalent,0.590441,Match based on Embeddings
http://schema.org/BusStation,http://www.wikidata.org/wiki/bus_station,equivalent,0.59476787,Match based on Embeddings
http://schema.org/Mass,http://www.wikidata.org/wiki/mass,equivalent,0.6417844,Match based on Embeddings
http://schema.org/Physician,http://www.wikidata.org/wiki/physician,equivalent,0.63765836,Match based on Embeddings
http://schema.org/TravelAgency,http://www.wikidata.org/wiki/travel_agency,equivalent,0.59750503,Match based on Embeddings
