source_class_uri,target_class_uri,semantic_relation,similarity_score,justification
http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Lirondo,http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Lirondo,equivalent,0.6614025,Match based on Embeddings
http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Hezzoran,http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Hezzoran,equivalent,0.6627566,Match based on Embeddings
http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Bessiker,http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Bessiker,equivalent,0.65818304,Match based on Embeddings
http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/The_Entity,http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/The_Entity,equivalent,0.6674342,Match based on Embeddings
http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Leeha_Narezz,http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Leeha_Narezz,equivalent,0.66059065,Match based on Embeddings
http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Darth_Igrol,http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Darth_Igrol,equivalent,0.68107843,Match based on Embeddings
http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Republic_battlecruiser,http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Republic_Battlecruiser,equivalent,0.6918851,Match based on Embeddings
http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Planet_Prison,http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Planet_Prison,equivalent,0.6682064,Match based on Embeddings
http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Darth_Angral,http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Darth_Angral,equivalent,0.68275225,Match based on Embeddings
http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Supreme_Chancellor,http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Supreme_Chancellor,equivalent,0.67211944,Match based on Embeddings
http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Haazen,http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Haazen,equivalent,0.6509943,Match based on Embeddings
http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Shian,http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Shian,equivalent,0.6679107,Match based on Embeddings
http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Battle_of_Bothawui_(Second;_Great_Galactic_War),http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Second_Battle_of_Bothawui,equivalent,0.61840683,Match based on Embeddings
http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/M1-4X,http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/M1-4X,equivalent,0.6637953,Match based on Embeddings
http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Gamblor,http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Gamblor,equivalent,0.65960544,Match based on Embeddings
http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Undercity_sewers,http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Undercity_Sewers,equivalent,0.6648539,Match based on Embeddings
http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/The_Tomb,http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/The_Tomb,equivalent,0.6617407,Match based on Embeddings
http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Synoda,http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Synoda,equivalent,0.66209894,Match based on Embeddings
http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/3963_BBY,N/A,N/A,0.0,"LLM failed to parse response. Raw: Based on the analysis, I recommend the following best semantic match:

[
{
""source_class_uri"": http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/3963_BBY,
""target_class_uri"": http://dbkwik."
http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/House_Girard,http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/House_Girard,equivalent,0.66377926,Match based on Embeddings
http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Teepo,http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Teepo,equivalent,0.6644068,Match based on Embeddings
http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Battle_of_Corbos,http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Battle_of_Corbos,equivalent,0.6723911,Match based on Embeddings
http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Wingmaw,http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Wingmaw,equivalent,0.66865605,Match based on Embeddings
http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Rian_Darok,http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Rian_Darok,equivalent,0.67560035,Match based on Embeddings
http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Eldon_Ax,http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Eldon_Ax,equivalent,0.6584931,Match based on Embeddings
http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Lonna_Vash,http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Lonna_Vash,equivalent,0.6701577,Match based on Embeddings
http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Solania,http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Solania,equivalent,0.664953,Match based on Embeddings
http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Unidentified_female_felinoid_Mandalorian_Knight,http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Unidentified_female_felinoid_Mandalorian_Knight,equivalent,0.6910191,Match based on Embeddings
http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Spirit_protector,http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Spirit_protector,equivalent,0.67396355,Match based on Embeddings
http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Oteg,http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Oteg,equivalent,0.65365446,Match based on Embeddings
http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Borthis,http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Borthis,equivalent,0.66189253,Match based on Embeddings
