source_class_uri,target_class_uri,semantic_relation,similarity_score,justification
http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:lymphnode,http://dbpedia.org/ontology/Lymph,equivalent,0.59857905,Match based on Embeddings
http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:winery,http://dbpedia.org/ontology/Winery,equivalent,0.6048456,Match based on Embeddings
http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:musicalbum,http://dbpedia.org/ontology/MusicGenre,related,0.5408,"While the similarity score is high for both MusicArtist and MusicFestival, the most suitable match is actually MusicGenre. The context of musicalbum suggests a collection of music, which aligns well with the concept of a music genre. Although not an exact equivalent, the relationship between musicalbum and MusicGenre is one of relatedness."
http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:bank,http://dbpedia.org/ontology/Bank,equivalent,0.5991243,Match based on Embeddings
http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:radiostation,http://dbpedia.org/ontology/RadioStation,equivalent,0.6166085,Match based on Embeddings
http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:sport,http://dbpedia.org/ontology/Sport,equivalent,0.60691196,Match based on Embeddings
http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:shoppingmall,http://dbpedia.org/ontology/ShoppingMall,equivalent,0.5902704,Match based on Embeddings
http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:musicinstrument,http://dbpedia.org/ontology/Instrument,equivalent,0.5161,"Although the similarity score is slightly lower for this match compared to the MusicGenre and MusicFestival targets, it provides a more precise semantic fit with the source class 'musicinstrument'. The target class 'Instrument' shares a similar meaning with the source class, conveying a sense of being a type of object used to produce music. In contrast, MusicGenre and MusicFestival do not directly relate to the concept of a musical instrument."
http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:nonprofitorganization,http://dbpedia.org/ontology/Non-ProfitOrganisation,equivalent,0.56621397,Match based on Embeddings
http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:skiarea,http://dbpedia.org/ontology/SkiArea,equivalent,0.6091985,Match based on Embeddings
http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:language,http://dbpedia.org/ontology/Language,equivalent,0.60481644,Match based on Embeddings
http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:grandprix,http://dbpedia.org/ontology/GrandPrix,equivalent,0.6332552,Match based on Embeddings
http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:restaurant,http://dbpedia.org/ontology/Restaurant,equivalent,0.6134125,Match based on Embeddings
http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:programminglanguage,http://dbpedia.org/ontology/ProgrammingLanguage,equivalent,0.5983815,Match based on Embeddings
http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:automobileengine,http://dbpedia.org/ontology/AutomobileEngine,equivalent,0.6210576,Match based on Embeddings
http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:fungus,http://dbpedia.org/ontology/Fungus,equivalent,0.62085605,Match based on Embeddings
http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:journalist,http://dbpedia.org/ontology/Journalist,equivalent,0.59647906,Match based on Embeddings
http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:election,http://dbpedia.org/ontology/Election,equivalent,0.59402287,Match based on Embeddings
http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:celebrity,http://dbpedia.org/ontology/Celebrity,equivalent,0.6191724,Match based on Embeddings
http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:sportsleague,http://dbpedia.org/ontology/SportsLeague,equivalent,0.617645,Match based on Embeddings
http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:country,http://dbpedia.org/ontology/Country,equivalent,0.5923684,Match based on Embeddings
http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:protein,http://dbpedia.org/ontology/Protein,equivalent,0.6194358,Match based on Embeddings
http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:ethnicgroup,http://dbpedia.org/ontology/EthnicGroup,equivalent,0.6281023,Match based on Embeddings
http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:race,http://dbpedia.org/ontology/Race,equivalent,0.6070049,Match based on Embeddings
http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:bacteria,http://dbpedia.org/ontology/Bacteria,equivalent,0.6097314,Match based on Embeddings
http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:drug,http://dbpedia.org/ontology/Drug,equivalent,0.61531144,Match based on Embeddings
http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:island,http://dbpedia.org/ontology/Island,equivalent,0.5910285,Match based on Embeddings
http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:stadiumoreventvenue,http://dbpedia.org/ontology/Stadium,equivalent,0.56477046,Match based on Embeddings
http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:boardgame,http://dbpedia.org/ontology/BoardGame,equivalent,0.608528,Match based on Embeddings
http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:river,http://dbpedia.org/ontology/River,equivalent,0.599679,Match based on Embeddings
http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:trainstation,http://dbpedia.org/ontology/RailwayStation,equivalent,0.58282584,Match based on Embeddings
http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:cardgame,http://dbpedia.org/ontology/CardGame,equivalent,0.6107686,Match based on Embeddings
http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:professor,http://dbpedia.org/ontology/Professor,equivalent,0.5995355,Match based on Embeddings
http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:musicartist,http://dbpedia.org/ontology/MusicalArtist,equivalent,0.5591611,Match based on Embeddings
http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:researchproject,http://dbpedia.org/ontology/ResearchProject,equivalent,0.60985357,Match based on Embeddings
http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:conference,http://dbpedia.org/ontology/AcademicConference,equivalent,0.53676623,Match based on Embeddings
http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:movie,http://dbpedia.org/ontology/Film,equivalent,0.5656486,Match based on Embeddings
http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:earthquakeevent,http://dbpedia.org/ontology/Earthquake,equivalent,0.5918505,Match based on Embeddings
http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:museum,http://dbpedia.org/ontology/Museum,equivalent,0.6001423,Match based on Embeddings
http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:politician,http://dbpedia.org/ontology/Politician,equivalent,0.59734684,Match based on Embeddings
http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:televisionstation,http://dbpedia.org/ontology/TelevisionStation,equivalent,0.6067328,Match based on Embeddings
http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:beach,http://dbpedia.org/ontology/Beach,equivalent,0.59835494,Match based on Embeddings
http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:mediatype,http://dbpedia.org/ontology/Media,equivalent,0.5360875,Match based on Embeddings
http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:planet,http://dbpedia.org/ontology/Planet,equivalent,0.61369896,Match based on Embeddings
http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:highway,http://dbpedia.org/ontology/Road,equivalent,0.54979163,Match based on Embeddings
http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:videogame,http://dbpedia.org/ontology/VideoGame,equivalent,0.61649114,Match based on Embeddings
http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:hobby,http://dbpedia.org/ontology/Sport,related,0.5008,"Although the similarity score for 'MusicalArtist' is slightly higher, considering the context, I believe 'Sport' is a more relevant match as it shares similar characteristics with hobbies, such as being recreational and leisurely activities."
http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:actor,http://dbpedia.org/ontology/Actor,equivalent,0.58347607,Match based on Embeddings
http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:port,http://dbpedia.org/ontology/Port,equivalent,0.58052194,Match based on Embeddings
http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:reptile,http://dbpedia.org/ontology/Reptile,equivalent,0.62122726,Match based on Embeddings
http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:mammal,http://dbpedia.org/ontology/Mammal,equivalent,0.6189184,Match based on Embeddings
http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:militaryconflict,http://dbpedia.org/ontology/MilitaryConflict,equivalent,0.6233081,Match based on Embeddings
http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:newspaper,http://dbpedia.org/ontology/Newspaper,equivalent,0.5932759,Match based on Embeddings
http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:magazine,http://dbpedia.org/ontology/Magazine,equivalent,0.5818707,Match based on Embeddings
http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:artery,http://dbpedia.org/ontology/Artery,equivalent,0.6198893,Match based on Embeddings
http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:bridge,http://dbpedia.org/ontology/Bridge,equivalent,0.5789499,Match based on Embeddings
http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:architect,http://dbpedia.org/ontology/Architect,equivalent,0.6064614,Match based on Embeddings
http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:currency,http://dbpedia.org/ontology/Currency,equivalent,0.61292475,Match based on Embeddings
http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:hospital,http://dbpedia.org/ontology/Hospital,equivalent,0.59007543,Match based on Embeddings
