source_class_uri,target_class_uri,semantic_relation,similarity_score,justification
http://mouse.owl#MA_0001369,http://human.owl#NCI_C52791,equivalent,0.5545676,Match based on Embeddings
http://mouse.owl#MA_0001316,http://human.owl#NCI_C33237,equivalent,0.4914,"The target class 'outer_plexiform_layer' has a very similar label to the source class, and its context also indicates it is a part of the retina layer. This match is semantically more appropriate than the other two options, which have slightly different labels and contexts."
http://mouse.owl#MA_0000892,http://human.owl#NCI_C52733,equivalent,0.5603754,Match based on Embeddings
http://mouse.owl#MA_0001097,http://human.owl#NCI_C12761,equivalent,0.52594006,Match based on Embeddings
http://mouse.owl#MA_0001394,http://human.owl#NCI_C12863,equivalent,0.5531598,Match based on Embeddings
http://mouse.owl#MA_0001347,http://human.owl#NCI_C12688,equivalent,0.369,"The selected target class 'carpal bone' is the most semantically similar to the source class 'triquetral' based on both numerical similarity score and contextual meaning. Both classes refer to a specific type of carpal bone in their respective species, with the main difference being the species distinction."
http://mouse.owl#MA_0001461,http://human.owl#NCI_C52714,equivalent,0.5501919,Match based on Embeddings
http://mouse.owl#MA_0002671,http://human.owl#NCI_C33599,equivalent,0.49149778,Match based on Embeddings
http://mouse.owl#MA_0001885,http://human.owl#NCI_C32373,equivalent,0.5468889,Match based on Embeddings
http://mouse.owl#MA_0002459,http://human.owl#NCI_C32301,equivalent,0.501239,Match based on Embeddings
http://mouse.owl#MA_0002271,http://human.owl#NCI_C53149,equivalent,0.55332637,Match based on Embeddings
http://mouse.owl#MA_0001067,http://human.owl#NCI_C32775,equivalent,0.3752,"The target class 'inferior_frontal_gyrus' has a lower similarity score compared to the other two candidates, but it is semantically more appropriate as both classes refer to brain regions involved in auditory processing and have similar contexts (subClassOf: cerebral_gyrus and subClassOf: frontal_gyrus)."
http://mouse.owl#MA_0002587,http://human.owl#NCI_C32684,equivalent,0.56052065,Match based on Embeddings
http://mouse.owl#MA_0002424,http://human.owl#NCI_C53075,equivalent,0.52536607,Match based on Embeddings
http://mouse.owl#MA_0002398,http://human.owl#NCI_C33809,equivalent,0.51669675,Match based on Embeddings
http://mouse.owl#MA_0000208,http://human.owl#NCI_C32287,equivalent,0.5547739,Match based on Embeddings
http://mouse.owl#MA_0001658,http://human.owl#NCI_C32522,equivalent,0.55503637,Match based on Embeddings
http://mouse.owl#MA_0000993,http://human.owl#NCI_C49138,equivalent,0.5422743,Match based on Embeddings
http://mouse.owl#MA_0001012,http://human.owl#NCI_C32337,equivalent,0.5373,"Both classes refer to the cochlear nucleus, with similar labels and subclass relationships in their respective ontologies. The similarity score is high, indicating a strong match based on numerical similarity. Additionally, the contextual meaning of both classes aligns well, with the source class being part of the brainstem nucleus and the target class being part of the central nervous system. This combination of numerical similarity and semantic fit makes this match the most appropriate choice."
http://mouse.owl#MA_0002276,http://human.owl#NCI_C52895,equivalent,0.5595787,Match based on Embeddings
http://mouse.owl#MA_0001052,http://human.owl#NCI_C33187,equivalent,0.5535434,Match based on Embeddings
http://mouse.owl#MA_0001933,http://human.owl#NCI_C52845,equivalent,0.5509584,Match based on Embeddings
http://mouse.owl#MA_0002529,http://human.owl#NCI_C33297,equivalent,0.5189118,Match based on Embeddings
http://mouse.owl#MA_0000348,http://human.owl#NCI_C12506,equivalent,0.47823873,Match based on Embeddings
http://mouse.owl#MA_0002480,http://human.owl#NCI_C12811,equivalent,0.47248492,Match based on Embeddings
http://mouse.owl#MA_0002718,http://human.owl#NCI_C33854,equivalent,0.5263872,Match based on Embeddings
http://mouse.owl#MA_0000093,http://human.owl#NCI_C12870,equivalent,0.54468113,Match based on Embeddings
http://mouse.owl#MA_0001289,http://human.owl#NCI_C33586,equivalent,0.53438836,Match based on Embeddings
http://mouse.owl#MA_0002571,http://human.owl#NCI_C32455,equivalent,0.5478693,Match based on Embeddings
http://mouse.owl#MA_0001766,http://human.owl#NCI_C49246,equivalent,0.5543277,Match based on Embeddings
http://mouse.owl#MA_0002490,http://human.owl#NCI_C32207,equivalent,0.54141504,Match based on Embeddings
http://mouse.owl#MA_0001403,http://human.owl#NCI_C52765,equivalent,0.51754653,Match based on Embeddings
http://mouse.owl#MA_0001716,http://human.owl#NCI_C32969,equivalent,0.3365,"The target class 'left_ovary' is the best match because it shares a similar context with the source class 'left oviduct'. Both are reproductive glands/organs, and their labels ('left_ovary' and 'left oviduct') have a similar structure. Although the similarity score for this match is not the highest, I chose this match over the others because of the strong contextual alignment."
http://mouse.owl#MA_0001393,http://human.owl#NCI_C52773,equivalent,0.5600324,Match based on Embeddings
http://mouse.owl#MA_0000820,http://human.owl#NCI_C49334,equivalent,0.54199344,Match based on Embeddings
http://mouse.owl#MA_0002675,http://human.owl#NCI_C33781,equivalent,0.54414606,Match based on Embeddings
http://mouse.owl#MA_0002332,http://human.owl#NCI_C32984,equivalent,0.5003711,Match based on Embeddings
http://mouse.owl#MA_0002307,http://human.owl#NCI_C52928,equivalent,0.5427021,Match based on Embeddings
http://mouse.owl#MA_0000776,http://human.owl#NCI_C49788,equivalent,0.52559763,Match based on Embeddings
http://mouse.owl#MA_0002038,http://human.owl#NCI_C52997,equivalent,0.5548488,Match based on Embeddings
http://mouse.owl#MA_0000910,http://human.owl#NCI_C33893,equivalent,0.5318636,Match based on Embeddings
http://mouse.owl#MA_0001734,http://human.owl#NCI_C49220,equivalent,0.5440909,Match based on Embeddings
http://mouse.owl#MA_0002293,http://human.owl#NCI_C52916,equivalent,0.51855403,Match based on Embeddings
http://mouse.owl#MA_0000137,http://human.owl#NCI_C12771,equivalent,0.4961901,Match based on Embeddings
http://mouse.owl#MA_0000205,http://human.owl#NCI_C12510,equivalent,0.4101,"The source class represents the myelencephalon, which is a region in the brain of mice. The target class, mesencephalon, has a similar label and is also a part of the central nervous system. Although there are slight differences in their contextual meanings, they share a common supercategory (brain_part) and have similar hierarchical relationships with other classes. This match is considered equivalent because it captures the same conceptual meaning and has a high similarity score."
http://mouse.owl#MA_0000276,http://human.owl#NCI_C12343,equivalent,0.4985864,Match based on Embeddings
http://mouse.owl#MA_0001200,http://human.owl#NCI_C33083,equivalent,0.5535818,Match based on Embeddings
http://mouse.owl#MA_0001599,http://human.owl#NCI_C32451,equivalent,0.54335386,Match based on Embeddings
http://mouse.owl#MA_0002617,http://human.owl#NCI_C33101,equivalent,0.42779824,Match based on Embeddings
http://mouse.owl#MA_0001094,http://human.owl#NCI_C12732,equivalent,0.51705134,Match based on Embeddings
http://mouse.owl#MA_0000328,http://human.owl#NCI_C12736,equivalent,0.5387245,Match based on Embeddings
http://mouse.owl#MA_0001538,http://human.owl#NCI_C49242,equivalent,0.46812811,Match based on Embeddings
http://mouse.owl#MA_0001918,http://human.owl#NCI_C52849,equivalent,0.55156547,Match based on Embeddings
http://mouse.owl#MA_0000164,http://human.owl#NCI_C12371,equivalent,0.52137184,Match based on Embeddings
http://mouse.owl#MA_0001924,http://human.owl#NCI_C52847,equivalent,0.5651549,Match based on Embeddings
http://mouse.owl#MA_0002244,http://human.owl#NCI_C32115,equivalent,0.53667605,Match based on Embeddings
http://mouse.owl#MA_0001381,http://human.owl#NCI_C52778,equivalent,0.5570494,Match based on Embeddings
http://mouse.owl#MA_0002444,http://human.owl#NCI_C12888,equivalent,0.5088743,Match based on Embeddings
http://mouse.owl#MA_0000136,http://human.owl#NCI_C12936,equivalent,0.55058086,Match based on Embeddings
http://mouse.owl#MA_0002526,http://human.owl#NCI_C52552,equivalent,0.5426731,Match based on Embeddings
http://mouse.owl#MA_0000133,http://human.owl#NCI_C12351,equivalent,0.5343346,Match based on Embeddings
http://mouse.owl#MA_0000719,http://human.owl#NCI_C49325,equivalent,0.55732244,Match based on Embeddings
http://mouse.owl#MA_0002321,http://human.owl#NCI_C32764,equivalent,0.5000662,Match based on Embeddings
http://mouse.owl#MA_0001715,http://human.owl#NCI_C33896,equivalent,0.5146749,Match based on Embeddings
